------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,            0.0616978
                   2,            0.0617025
                   3,            0.0617102
                   4,            0.0617211
                   5,             0.061735
                   6,            0.0617521
                   7,            0.0617723
                   8,            0.0617955
                   9,            0.0618219
                  10,            0.0618513
                  11,            0.0618838
                  12,            0.0619194
                  13,            0.0619582
                  14,                0.062
                  15,            0.0620448
                  16,            0.0620928
                  17,            0.0621437
                  18,            0.0621979
                  19,            0.0622551
                  20,            0.0623152
                  21,            0.0623785
                  22,            0.0624447
                  23,            0.0625141
                  24,            0.0625863
                  25,            0.0626617
                  26,            0.0627402
                  27,            0.0628215
                  28,            0.0629062
                  29,            0.0629938
                  30,             0.063084
                  31,            0.0631773
                  32,            0.0632738
                  33,            0.0633734
                  34,            0.0634758
                  35,            0.0635805
                  36,            0.0636891
                  37,               0.0638
                  38,            0.0639141
                  39,            0.0640312
                  40,            0.0641508
                  41,            0.0642742
                  42,            0.0643992
                  43,            0.0645281
                  44,            0.0646594
                  45,            0.0647937
                  46,            0.0649305
                  47,            0.0650703
                  48,            0.0652125
                  49,            0.0653594
                  50,            0.0655063
                  51,            0.0656578
                  52,            0.0658109
                  53,            0.0659688
                  54,            0.0661266
                  55,            0.0662891
                  56,            0.0664531
                  57,            0.0666203
                  58,            0.0667906
                  59,            0.0669625
                  60,            0.0671375
                  61,            0.0673156
                  62,            0.0674953
                  63,            0.0676781
                  64,            0.0678641
                  65,            0.0680516
                  66,            0.0682422
                  67,            0.0684344
                  68,            0.0686297
                  69,            0.0688281
                  70,            0.0690281
                  71,            0.0692297
                  72,            0.0694344
                  73,            0.0696406
                  74,              0.06985
                  75,            0.0700625
                  76,            0.0702781
                  77,            0.0704937
                  78,            0.0707094
                  79,            0.0709313
                  80,            0.0711531
                  81,            0.0713781
                  82,            0.0716062
                  83,            0.0718344
                  84,            0.0720656
                  85,            0.0722969
                  86,            0.0725313
                  87,            0.0727688
                  88,            0.0730062
                  89,            0.0732469
                  90,            0.0734875
                  91,            0.0737312
                  92,            0.0739781
                  93,             0.074225
                  94,             0.074475
                  95,             0.074725
                  96,             0.074975
                  97,            0.0752281
                  98,            0.0754844
                  99,            0.0757406
                 100,            0.0759969
                 101,            0.0762562
                 102,            0.0765156
                 103,            0.0767781
                 104,            0.0770406
                 105,            0.0773031
                 106,            0.0775688
                 107,            0.0778344
                 108,            0.0781031
                 109,            0.0783688
                 110,            0.0786375
                 111,            0.0789062
                 112,            0.0791781
                 113,              0.07945
                 114,            0.0797187
                 115,            0.0799906
                 116,            0.0802656
                 117,            0.0805375
                 118,            0.0808094
                 119,            0.0810844
                 120,            0.0813594
                 121,            0.0816313
                 122,            0.0819062
                 123,            0.0821812
                 124,            0.0824531
                 125,            0.0827281
                 126,            0.0830031
                 127,             0.083275
                 128,              0.08355
                 129,            0.0838219
                 130,            0.0840937
                 131,            0.0843656
                 132,            0.0846375
                 133,            0.0849063
                 134,             0.085175
                 135,            0.0854437
                 136,            0.0857125
                 137,            0.0859781
                 138,            0.0862437
                 139,            0.0865062
                 140,            0.0867687
                 141,            0.0870281
                 142,            0.0872875
                 143,            0.0875469
