------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213438
                   2,             0.213528
                   3,             0.213676
                   4,             0.213883
                   5,             0.214147
                   6,             0.214466
                   7,             0.214838
                   8,             0.215262
                   9,             0.215733
                  10,             0.216249
                  11,             0.216807
                  12,             0.217401
                  13,             0.218027
                  14,              0.21868
                  15,             0.219354
                  16,             0.220043
                  17,             0.220739
                  18,             0.221433
                  19,              0.22212
                  20,             0.222791
                  21,             0.223435
                  22,             0.224045
                  23,             0.224611
                  24,             0.225123
                  25,             0.225574
                  26,             0.225955
                  27,              0.22626
                  28,             0.226481
                  29,             0.226616
                  30,             0.348073
                  31,             0.348511
                  32,             0.349238
                  33,             0.350273
                  34,             0.351563
                  35,             0.353125
                  36,                0.355
                  37,             0.357031
                  38,             0.359375
                  39,               0.3625
                  40,               0.3675
                  41,               0.3725
                  42,              0.38125
                  43,                0.385
                  44,             0.389375
                  45,             0.393125
                  46,             0.397188
                  47,              0.40125
                  48,             0.405625
                  49,             0.409688
                  50,              0.41375
                  51,             0.417656
                  52,              0.42125
                  53,             0.424336
                  54,             0.426777
                  55,             0.428369
                  56,              0.49293
                  57,             0.494922
                  58,             0.498047
                  59,             0.502031
                  60,             0.506875
                  61,             0.512188
                  62,             0.518125
                  63,             0.524375
                  64,              0.53125
                  65,               0.5375
                  66,                0.545
                  67,               0.5525
                  68,                 0.56
                  69,                0.575
                  70,                 0.59
                  71,                0.615
                  72,                0.625
                  73,               0.6325
                  74,                 0.64
                  75,               0.6475
                  76,              0.65625
                  77,                0.665
                  78,             0.672813
                  79,             0.679531
                  80,             0.684492
                  81,             0.736406
                  82,             0.741719
                  83,             0.749062
                  84,               0.7575
                  85,             0.766875
                  86,              0.77625
                  87,              0.78625
                  88,               0.7975
                  89,                 0.81
                  90,               0.8175
                  91,                 0.83
                  92,                 0.84
                  93,               0.8525
                  94,                0.865
                  95,                0.875
                  96,                0.885

