------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,                0.395
                   2,             0.461765
                   3,             0.461972
                   4,             0.462316
                   5,             0.462795
                   6,             0.463408
                   7,              0.46415
                   8,              0.46502
                   9,             0.466025
                  10,             0.467139
                  11,             0.468369
                  12,             0.469707
                  13,             0.471152
                  14,             0.472695
                  15,             0.474316
                  16,             0.475996
                  17,             0.477754
                  18,             0.479531
                  19,             0.481367
                  20,             0.483184
                  21,                0.485
                  22,             0.486777
                  23,             0.488477
                  24,             0.490078
                  25,             0.491572
                  26,               0.4929
                  27,             0.494038
                  28,             0.494961
                  29,             0.495641
                  30,             0.496057
                  31,             0.640325
                  32,              0.64126
                  33,             0.642813
                  34,             0.644941
                  35,             0.647617
                  36,             0.650859
                  37,             0.654609
                  38,              0.65875
                  39,             0.663281
                  40,             0.668281
                  41,              0.67375
                  42,             0.679375
                  43,             0.685312
                  44,             0.691563
                  45,             0.698125
                  46,             0.704844
                  47,             0.711562
                  48,              0.71875
                  49,             0.725625
                  50,             0.732812
                  51,             0.739844
                  52,             0.746875
                  53,              0.75375
                  54,             0.760156
                  55,             0.766172
                  56,             0.771641
                  57,             0.776172
                  58,             0.779648
                  59,             0.781855

