------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,            0.0859022
                   2,            0.0860201
                   3,            0.0862155
                   4,            0.0864874
                   5,            0.0868335
                   6,             0.087251
                   7,             0.087738
                   8,            0.0882886
                   9,            0.0889014
                  10,            0.0895679
                  11,            0.0902856
                  12,            0.0910449
                  13,            0.0918457
                  14,            0.0926709
                  15,            0.0935205
                  16,            0.0943848
                  17,             0.095249
                  18,            0.0961084
                  19,            0.0969531
                  20,             0.097771
                  21,            0.0985498
                  22,            0.0992847
                  23,            0.0999585
                  24,             0.100568
                  25,               0.1011
                  26,             0.101548
                  27,             0.101904
                  28,             0.102162
                  29,             0.102319
                  30,             0.329502
                  31,             0.330034
                  32,             0.330913
                  33,             0.332139
                  34,             0.333691
                  35,             0.335576
                  36,             0.337754
                  37,             0.340234
                  38,             0.342988
                  39,             0.345977
                  40,             0.349219
                  41,             0.352656
                  42,              0.35625
                  43,                 0.36
                  44,             0.363867
                  45,             0.367812
                  46,             0.371836
                  47,              0.37582
                  48,             0.379805
                  49,             0.383672
                  50,             0.387422
                  51,             0.391016
                  52,             0.394336
                  53,             0.397383
                  54,             0.400059
                  55,             0.402354
                  56,             0.404194
                  57,              0.40554
                  58,              0.40636
                  59,             0.690974
                  60,             0.692432
                  61,             0.694824
                  62,             0.698164
                  63,             0.702344
                  64,             0.707344
                  65,             0.713125
                  66,             0.719688
                  67,             0.726719
                  68,             0.734531
                  69,             0.742812
                  70,             0.751562
                  71,             0.760625
                  72,             0.770312
                  73,             0.780312
                  74,             0.790312
                  75,             0.800625
                  76,              0.81125
                  77,             0.821875
                  78,               0.8325
                  79,             0.842812
                  80,             0.853125
                  81,             0.863125
                  82,               0.8725
                  83,             0.881094
                  84,             0.888828
                  85,             0.895234

