------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,            0.0980698
                   2,            0.0981388
                   3,            0.0982532
                   4,            0.0984117
                   5,            0.0986133
                   6,            0.0988559
                   7,            0.0991376
                   8,             0.099455
                   9,            0.0998059
                  10,             0.100187
                  11,             0.100594
                  12,             0.101024
                  13,             0.101472
                  14,             0.101934
                  15,             0.102404
                  16,             0.102877
                  17,             0.103348
                  18,             0.103813
                  19,             0.104266
                  20,             0.104701
                  21,             0.105114
                  22,             0.105499
                  23,             0.105851
                  24,             0.106166
                  25,              0.10644
                  26,              0.10667
                  27,             0.106852
                  28,             0.106983
                  29,             0.107063
                  30,             0.381389
                  31,             0.381714
                  32,             0.382255
                  33,             0.383003
                  34,             0.383955
                  35,             0.385103
                  36,             0.386436
                  37,             0.387939
                  38,             0.389609
                  39,             0.391426
                  40,             0.393369
                  41,              0.39543
                  42,             0.397578
                  43,             0.399795
                  44,              0.40207
                  45,             0.404375
                  46,              0.40668
                  47,             0.408955
                  48,             0.411191
                  49,              0.41335
                  50,              0.41541
                  51,             0.417334
                  52,             0.419111
                  53,             0.420708
                  54,             0.422104
                  55,             0.423276
                  56,             0.424209
                  57,             0.424886
                  58,             0.425297
                  59,             0.811249
                  60,             0.812183
                  61,              0.81373
                  62,             0.815879
                  63,             0.818594
                  64,             0.821895
                  65,             0.825703
                  66,             0.830039
                  67,             0.834805
                  68,                 0.84
                  69,             0.845625
                  70,             0.851562
                  71,             0.857812
                  72,             0.864297
                  73,             0.871016
                  74,             0.877891
                  75,             0.884766
                  76,             0.891719
                  77,             0.898594
                  78,             0.905391
                  79,             0.911953
                  80,             0.918203
                  81,             0.924063
                  82,             0.929414
                  83,              0.93418
                  84,             0.938262
                  85,             0.941533
                  86,             0.943945
                  87,             0.945416

