------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,                0.395
                   2,             0.485902
                   3,              0.48602
                   4,             0.486216
                   5,             0.486487
                   6,             0.486833
                   7,             0.487251
                   8,             0.487738
                   9,             0.488289
                  10,             0.488901
                  11,             0.489568
                  12,             0.490286
                  13,             0.491045
                  14,             0.491846
                  15,             0.492671
                  16,             0.493521
                  17,             0.494385
                  18,             0.495249
                  19,             0.496108
                  20,             0.496953
                  21,             0.497771
                  22,              0.49855
                  23,             0.499285
                  24,             0.499958
                  25,             0.500568
                  26,               0.5011
                  27,             0.501548
                  28,             0.501904
                  29,             0.502162
                  30,             0.502319
                  31,             0.729502
                  32,             0.730034
                  33,             0.730913
                  34,             0.732139
                  35,             0.733691
                  36,             0.735576
                  37,             0.737754
                  38,             0.740234
                  39,             0.742988
                  40,             0.745977
                  41,             0.749219
                  42,             0.752656
                  43,              0.75625
                  44,                 0.76
                  45,             0.763867
                  46,             0.767813
                  47,             0.771836
                  48,              0.77582
                  49,             0.779805
                  50,             0.783672
                  51,             0.787422
                  52,             0.791016
                  53,             0.794336
                  54,             0.797383
                  55,             0.800059
                  56,             0.802354
                  57,             0.804194
                  58,              0.80554
                  59,              0.80636
                  60,              1.09097
                  61,              1.09243
                  62,              1.09482
                  63,              1.09816
                  64,              1.10234
                  65,              1.10734
                  66,              1.11312
                  67,              1.11969
                  68,              1.12672
                  69,              1.13453
                  70,              1.14281
                  71,              1.15156
                  72,              1.16063
                  73,              1.17031
                  74,              1.18031
                  75,              1.19031
                  76,              1.20063
                  77,              1.21125
                  78,              1.22187
                  79,               1.2325
                  80,              1.24281
                  81,              1.25312
                  82,              1.26313
                  83,               1.2725
                  84,              1.28109
                  85,              1.28883
                  86,              1.29523

