Position (um), Energy (eV)
                   0,      -0.190457913797
      0.221024692545,      -0.190457913927
      0.430998150463,      -0.190457915443
      0.630472935485,      -0.190457932763
      0.819973981256,      -0.190458114294
      0.999999974738,      -0.190459861655
        1.0533431027,      -0.190463242465
       1.10401907426,       -0.19046977055
       1.15216124725,      -0.190482631018
       1.19789631159,      -0.190507373189
        1.2413446227,      -0.190553485974
       1.28262051827,      -0.190636684351
       1.32183261905,      -0.190782114393
        1.3590841148,      -0.191028630299
       1.39447303576,      -0.191434155974
       1.42809251067,      -0.192081852874
       1.46003101183,      -0.193086305768
       1.49037258794,      -0.194598174456
       1.51919708524,      -0.196804847191
       1.54658035768,      -0.199923981197
       1.57259446649,      -0.204187250986
       1.59730786987,      -0.209814092006
       1.62078560307,      -0.216979780807
       1.64308944962,      -0.225786777346
       1.66427810384,      -0.236249172678
       1.68440732534,      -0.248295296894
       1.70353008577,      -0.261785714313
       1.72169670818,      -0.276538406924
       1.73895499947,      -0.292352827641
        1.7553503762,      -0.309028041443
       1.77092598409,      -0.326374015675
       1.78572281158,      -0.344217352087
        1.7997797977,      -0.362403342268
       1.81313393452,      -0.380795932391
       1.82582036449,      -0.399276655632
       1.83787247296,      -0.417743143353
       1.84932197601,      -0.436107531896
       1.86019900391,      -0.454294914034
       1.87053218041,       -0.47224189705
       1.88034869809,      -0.489895287493
       1.88967438989,        -0.5072109037
       1.89853379709,      -0.524152509331
       1.90695023393,      -0.540690858334
       1.91494584894,      -0.556802841204
       1.92254168319,      -0.572470722712
       1.92975772573,      -0.587681461998
       1.93661296614,      -0.602426106667
       1.94312544453,      -0.616699253344
         1.949312299,      -0.630498567854
       1.95518981075,      -0.643824358857
       1.96077344691,      -0.656679199416
       1.96607790127,      -0.669067591491
        1.9711171329,      -0.680995668887
       1.97590440296,      -0.692470934608
       1.98045230951,      -0.703502028999
       1.98477282073,      -0.714098525412
       1.98887730639,      -0.724270750462
       1.99277656777,      -0.734029626256
       1.99648086608,      -0.743386532213
       1.99999994948,      -0.752353184363
       2.00000135073,      -0.752356754766
       2.00000290612,        -0.7523607179
        2.0000046326,       -0.75236511696
         2.000006549,      -0.752369999897
        2.0000086762,       -0.75237541993
       2.00001103739,      -0.752381436134
       2.00001365832,      -0.752388114081
       2.00001656754,      -0.752395526553
       2.00001979678,      -0.752403754336
       2.00002338124,      -0.752412887101
       2.00002735998,      -0.752423024378
       2.00003177639,      -0.752434276643
       2.00003667861,      -0.752446766517
       2.00004212006,      -0.752460630106
       2.00004816008,      -0.752476018478
        2.0000548645,      -0.752493099309
       2.00006230641,      -0.752512058711
       2.00007056692,      -0.752533103252
       2.00007973609,      -0.752556462203
       2.00008991387,      -0.752582390039
       2.00010121121,      -0.752611169196
       2.00011375126,      -0.752643113147
        2.0001276707,      -0.752678569809
       2.00014312129,      -0.752717925319
       2.00016027144,      -0.752761608228
       2.00017930811,      -0.752810094155
       2.00020043882,      -0.752863910943
        2.0002238939,      -0.752923644385
       2.00024992904,      -0.752989944573
       2.00027882804,      -0.753063532935
       2.00031090594,      -0.753145210047
        2.0003465124,      -0.753235864285
       2.00038603557,      -0.753336481425
        2.0004299063,      -0.753448155284
        2.0004786028,      -0.753572099507
       2.00053265592,      -0.753709660642
       2.00059265488,      -0.753862332615
       2.00065925373,      -0.754031772768
       2.00073317845,      -0.754219819629
       2.00081523489,      -0.754428512577
       2.00090631754,      -0.754660113612
       2.00100741928,      -0.754917131451
       2.00111964221,      -0.755202348179
       2.00124420966,      -0.755518848711
       2.00138247953,       -0.75587005337
       2.00153595909,      -0.756259753861
        2.0017063214,      -0.756692153003
       2.00189542357,       -0.75717190856
       2.00210532697,      -0.757704181582
       2.00233831975,      -0.758294689651
       2.00259694173,      -0.758949765516
       2.00288401213,      -0.759676421559
       2.00320266028,      -0.760482420617
       2.00355635972,      -0.761376353678
        2.0039489661,      -0.762367725004
       2.00438475918,       -0.76346704522
        2.0048684895,       -0.76468593294
       2.00540543015,      -0.766037225463
       2.00600143428,       -0.76753509905
       2.00666299886,      -0.769195199233
       2.00739733555,      -0.771034781521
       2.00821244927,      -0.773072862722
        2.0091172255,      -0.775330382941
       2.01012152711,      -0.777830378014
        2.0112363019,       -0.78059816184
       2.01247370192,      -0.783661517577
       2.01384721595,      -0.787050896088
       2.01537181651,      -0.790799619226
       2.01706412314,      -0.794944084568
       2.01894258349,       -0.79952396687
       2.02102767449,       -0.80458240993
       2.02334212549,      -0.810166200408
        2.0259111661,      -0.816325912546
       2.02876280119,      -0.823116009389
       2.03192811613,      -0.830594881934
       2.03544161571,      -0.838824802388
       2.03934160025,      -0.847871761143
       2.04367058309,      -0.857805148907
       2.04847575404,      -0.868697235137
       2.05380949379,      -0.880622381261
       2.05972994492,      -0.893655911218
       2.06630164567,      -0.907872542222
       2.07359623351,      -0.923344254112
       2.08169322601,      -0.940137445308
       2.09068088768,      -0.958309185746
       2.10065719213,      -0.977902330525
       2.11173089008,      -0.998939200387
        2.1240226948,       -1.02141346408
       2.13766659803,       -1.04527977082
       2.15281133063,       -1.07044057747
       2.16962198381,       -1.09672950058
       2.18828180884,       -1.12389043355
       2.20899421462,       -1.15155174791
       2.23198498504,       -1.17919567666
        2.2575047402,        -1.2061261931
       2.28583166844,       -1.23144900537
       2.31727455877,       -1.25410244284
       2.35217616705,       -1.27301329673
       2.39091695224,       -1.28743019599
       2.43391922379,       -1.29729634571
       2.48165174522,       -1.30331667718
       2.53463484401,       -1.30660181779
       2.59344608366,       -1.30821461569
       2.65872655967,       -1.30892958926
       2.73118788804,       -1.30921563906
       2.81161996254,       -1.30931848592
       2.90089956523,       -1.30935146676
       2.99999992421,       -1.30936067394
       3.06282533265,       -1.30936263534
        3.1287920115,       -1.30936342562
        3.1980570243,       -1.30936373018
       3.27078528774,       -1.30936384224
       3.34714996435,       -1.30936388154
       3.42733287479,       -1.30936389465
       3.51152493075,        -1.3093638988
       3.59992658951,       -1.30936390005
       3.69274833121,        -1.3093639004
       3.79021115999,        -1.3093639005
       3.89254713022,       -1.30936390052
       3.99999989895,       -1.30936390053
