Position (um), Energy (eV)
                   0,       0.559452993366
      0.221024692545,       0.559452993236
      0.430998150463,        0.55945299172
      0.630472935485,         0.5594529744
      0.819973981256,       0.559452792869
      0.999999974738,       0.559451045508
        1.0533431027,       0.559447664698
       1.10401907426,       0.559441136613
       1.15216124725,       0.559428276145
       1.19789631159,       0.559403533974
        1.2413446227,       0.559357421189
       1.28262051827,       0.559274222812
       1.32183261905,        0.55912879277
        1.3590841148,       0.558882276864
       1.39447303576,       0.558476751189
       1.42809251067,       0.557829054288
       1.46003101183,       0.556824601395
       1.49037258794,       0.555312732706
       1.51919708524,       0.553106059972
       1.54658035768,       0.549986925965
       1.57259446649,       0.545723656177
       1.59730786987,       0.540096815157
       1.62078560307,       0.532931126356
       1.64308944962,       0.524124129816
       1.66427810384,       0.513661734485
       1.68440732534,       0.501615610269
       1.70353008577,        0.48812519285
       1.72169670818,       0.473372500239
       1.73895499947,       0.457558079521
        1.7553503762,        0.44088286572
       1.77092598409,       0.423536891488
       1.78572281158,       0.405693555076
        1.7997797977,       0.387507564895
       1.81313393452,       0.369114974772
       1.82582036449,        0.35063425153
       1.83787247296,        0.33216776381
       1.84932197601,       0.313803375267
       1.86019900391,       0.295615993129
       1.87053218041,       0.277669010113
       1.88034869809,        0.26001561967
       1.88967438989,       0.242700003463
       1.89853379709,       0.225758397832
       1.90695023393,       0.209220048829
       1.91494584894,       0.193108065959
       1.92254168319,        0.17744018445
       1.92975772573,       0.162229445165
       1.93661296614,       0.147484800496
       1.94312544453,       0.133211653819
         1.949312299,       0.119412339309
       1.95518981075,       0.106086548306
       1.96077344691,      0.0932317077471
       1.96607790127,      0.0808433156721
        1.9711171329,      0.0689152382763
       1.97590440296,      0.0574399725551
       1.98045230951,      0.0464088781638
       1.98477282073,      0.0358123817513
       1.98887730639,      0.0256401567008
       1.99277656777,      0.0158812809065
       1.99648086608,     0.00652437495008
       1.99999994948,    -0.00244227720005
       2.00000135073,    -0.00244584760323
       2.00000290612,    -0.00244981073672
        2.0000046326,    -0.00245420979761
         2.000006549,    -0.00245909273388
        2.0000086762,    -0.00246451276689
       2.00001103739,    -0.00247052897117
       2.00001365832,    -0.00247720691808
       2.00001656754,    -0.00248461939003
       2.00001979678,    -0.00249284717339
       2.00002338124,    -0.00250197993837
       2.00002735998,    -0.00251211721564
       2.00003177639,    -0.00252336948024
       2.00003667861,    -0.00253585935451
       2.00004212006,    -0.00254972294314
       2.00004816008,    -0.00256511131484
        2.0000548645,    -0.00258219214662
       2.00006230641,    -0.00260115154854
       2.00007056692,    -0.00262219608875
       2.00007973609,    -0.00264555504056
       2.00008991387,    -0.00267148287602
       2.00010121121,    -0.00270026203283
       2.00011375126,    -0.00273220598445
        2.0001276707,    -0.00276766264654
       2.00014312129,    -0.00280701815632
       2.00016027144,    -0.00285070106555
       2.00017930811,    -0.00289918699205
       2.00020043882,    -0.00295300377968
        2.0002238939,    -0.00301273722185
       2.00024992904,    -0.00307903740966
       2.00027882804,    -0.00315262577229
       2.00031090594,    -0.00323430288424
        2.0003465124,    -0.00332495712219
       2.00038603557,    -0.00342557426257
        2.0004299063,    -0.00353724812097
        2.0004786028,    -0.00366119234441
       2.00053265592,    -0.00379875347949
       2.00059265488,    -0.00395142545171
       2.00065925373,    -0.00412086560513
       2.00073317845,     -0.0043089124664
       2.00081523489,    -0.00451760541373
       2.00090631754,    -0.00474920644873
       2.00100741928,    -0.00500622428857
       2.00111964221,    -0.00529144101616
       2.00124420966,    -0.00560794154852
       2.00138247953,      -0.005959146207
       2.00153595909,    -0.00634884669805
        2.0017063214,    -0.00678124583984
       2.00189542357,    -0.00726100139758
       2.00210532697,    -0.00779327441867
       2.00233831975,    -0.00838378248816
       2.00259694173,    -0.00903885835362
       2.00288401213,    -0.00976551439653
       2.00320266028,     -0.0105715134537
       2.00355635972,     -0.0114654465148
        2.0039489661,     -0.0124568178407
       2.00438475918,     -0.0135561380568
        2.0048684895,     -0.0147750257771
       2.00540543015,     -0.0161263183005
       2.00600143428,     -0.0176241918875
       2.00666299886,     -0.0192842920706
       2.00739733555,     -0.0211238743579
       2.00821244927,     -0.0231619555595
        2.0091172255,     -0.0254194757784
       2.01012152711,     -0.0279194708514
        2.0112363019,     -0.0306872546774
       2.01247370192,     -0.0337506104145
       2.01384721595,     -0.0371399889247
       2.01537181651,     -0.0408887120634
       2.01706412314,     -0.0450331774051
       2.01894258349,     -0.0496130597071
       2.02102767449,      -0.054671502767
       2.02334212549,     -0.0602552932449
        2.0259111661,     -0.0664150053827
       2.02876280119,     -0.0732051022259
       2.03192811613,     -0.0806839747714
       2.03544161571,     -0.0889138952248
       2.03934160025,     -0.0979608539806
       2.04367058309,      -0.107894241744
       2.04847575404,      -0.118786327975
       2.05380949379,      -0.130711474098
       2.05972994492,      -0.143745004055
       2.06630164567,      -0.157961635059
       2.07359623351,      -0.173433346949
       2.08169322601,      -0.190226538145
       2.09068088768,      -0.208398278583
       2.10065719213,      -0.227991423363
       2.11173089008,      -0.249028293225
        2.1240226948,      -0.271502556915
       2.13766659803,      -0.295368863658
       2.15281133063,      -0.320529670311
       2.16962198381,      -0.346818593421
       2.18828180884,      -0.373979526382
       2.20899421462,      -0.401640840746
       2.23198498504,      -0.429284769496
        2.2575047402,      -0.456215285935
       2.28583166844,      -0.481538098203
       2.31727455877,      -0.504191535681
       2.35217616705,      -0.523102389565
       2.39091695224,      -0.537519288831
       2.43391922379,      -0.547385438551
       2.48165174522,      -0.553405770012
       2.53463484401,      -0.556690910624
       2.59344608366,      -0.558303708524
       2.65872655967,      -0.559018682096
       2.73118788804,      -0.559304731895
       2.81161996254,      -0.559407578761
       2.90089956523,      -0.559440559594
       2.99999992421,      -0.559449766776
       3.06282533265,      -0.559451728177
        3.1287920115,      -0.559452518461
        3.1980570243,      -0.559452823015
       3.27078528774,      -0.559452935075
       3.34714996435,      -0.559452974372
       3.42733287479,      -0.559452987484
       3.51152493075,      -0.559452991638
       3.59992658951,      -0.559452992885
       3.69274833121,       -0.55945299324
       3.79021115999,      -0.559452993335
       3.89254713022,      -0.559452993359
       3.99999989895,      -0.559452993366
