------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.213528
                   2,             0.213883
                   3,             0.214466
                   4,             0.215261
                   5,              0.21625
                   6,               0.2174
                   7,             0.218679
                   8,             0.220042
                   9,             0.221433
                  10,             0.222791
                  11,             0.224045
                  12,             0.225123
                  13,             0.225955
                  14,             0.226481
                  15,             0.348516
                  16,             0.350273
                  17,             0.353125
                  18,             0.356875
                  19,               0.3625
                  20,               0.3675
                  21,               0.3725
                  22,                 0.38
                  23,              0.38875
                  24,               0.3975
                  25,             0.405625
                  26,              0.41375
                  27,              0.42125
                  28,             0.426797
                  29,             0.494922
                  30,             0.502188
                  31,               0.5125
                  32,              0.52375
                  33,               0.5375
                  34,               0.5525
                  35,                0.565
                  36,                 0.59
                  37,                0.615
                  38,                 0.63
                  39,               0.6475
                  40,                0.665
                  41,             0.679375
                  42,             0.741875
                  43,               0.7575
                  44,              0.77625
                  45,               0.7975
                  46,                 0.82
                  47,                 0.84
                  48,                0.865
                  49,                0.885
                  50,                 0.91
                  51,                0.935
                  52,                0.955
                  53,                 0.98
                  54,                1.005
                  55,              1.03125
                  56,               1.0925
                  57,               1.1175
                  58,                1.145
                  59,                1.175
                  60,                  1.2
                  61,                 1.23
                  62,                 1.26
                  63,                 1.29

