------------------------------------------------------------
 Transmission Peak(TM)
------------------------------------------------------------
Occurrence, Resonance Energy (eV)
                   1,             0.214465
                   2,             0.217402
                   3,             0.221436
                   4,             0.225122
                   5,             0.353125
                   6,               0.3675
                   7,               0.3725
                   8,                 0.39

