------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         5.64807e-12,               0.0211
         5.71984e-12,               0.0212
         5.79242e-12,               0.0213
         5.86583e-12,               0.0214
         5.94006e-12,               0.0215
         6.01514e-12,               0.0216
         6.09106e-12,               0.0217
         6.16785e-12,               0.0218
          6.2455e-12,               0.0219
         6.32403e-12,                0.022
         6.40345e-12,               0.0221
         6.48376e-12,               0.0222
         6.56499e-12,               0.0223
         6.64713e-12,               0.0224
          6.7302e-12,               0.0225
         6.81421e-12,               0.0226
         6.89917e-12,               0.0227
         6.98509e-12,               0.0228
         7.07198e-12,               0.0229
         7.15986e-12,                0.023
         7.24872e-12,               0.0231
          7.3386e-12,               0.0232
         7.42948e-12,               0.0233
          7.5214e-12,               0.0234
         7.61435e-12,               0.0235
         7.70835e-12,               0.0236
         7.80342e-12,               0.0237
         7.89956e-12,               0.0238
         7.99678e-12,               0.0239
         8.09511e-12,                0.024
         8.19454e-12,               0.0241
          8.2951e-12,               0.0242
          8.3968e-12,               0.0243
         8.49964e-12,               0.0244
         8.60365e-12,               0.0245
         8.70883e-12,               0.0246
          8.8152e-12,               0.0247
         8.92278e-12,               0.0248
         9.03157e-12,               0.0249
         9.14159e-12,                0.025
         9.25285e-12,               0.0251
         9.36537e-12,               0.0252
         9.47916e-12,               0.0253
         9.59424e-12,               0.0254
         9.71062e-12,               0.0255
         9.82832e-12,               0.0256
         9.94735e-12,               0.0257
         1.00677e-11,               0.0258
         1.01895e-11,               0.0259
         1.03126e-11,                0.026
         1.04371e-11,               0.0261
          1.0563e-11,               0.0262
         1.06903e-11,               0.0263
         1.08191e-11,               0.0264
         1.09493e-11,               0.0265
         1.10811e-11,               0.0266
         1.12143e-11,               0.0267
          1.1349e-11,               0.0268
         1.14852e-11,               0.0269
          1.1623e-11,                0.027
         1.17623e-11,               0.0271
         1.19032e-11,               0.0272
