------------------------------------------------------------
 Transmission Coefficient on homogeneous energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         8.28437e-16,               0.0001
         1.70386e-15,               0.0002
         2.62859e-15,               0.0003
         3.60506e-15,               0.0004
         4.63583e-15,               0.0005
         5.72361e-15,               0.0006
         6.87121e-15,               0.0007
         8.08162e-15,               0.0008
         9.35798e-15,               0.0009
         1.07036e-14,                0.001
         1.21219e-14,               0.0011
         1.36166e-14,               0.0012
         1.51915e-14,               0.0013
         1.68507e-14,               0.0014
         1.85985e-14,               0.0015
         2.04393e-14,               0.0016
         2.23779e-14,               0.0017
         2.44194e-14,               0.0018
          2.6569e-14,               0.0019
         2.88322e-14,                0.002
          3.1215e-14,               0.0021
         3.37236e-14,               0.0022
         3.63645e-14,               0.0023
         3.91447e-14,               0.0024
         4.20715e-14,               0.0025
         4.51526e-14,               0.0026
         4.83962e-14,               0.0027
          5.1811e-14,               0.0028
         5.54062e-14,               0.0029
         5.91915e-14,                0.003
         6.31771e-14,               0.0031
         6.73739e-14,               0.0032
         7.17935e-14,               0.0033
         7.64481e-14,               0.0034
         8.13507e-14,               0.0035
          8.6515e-14,               0.0036
         9.19558e-14,               0.0037
         9.76885e-14,               0.0038
          1.0373e-13,               0.0039
         1.10097e-13,                0.004
         1.16808e-13,               0.0041
         1.23884e-13,               0.0042
         1.31346e-13,               0.0043
         1.39216e-13,               0.0044
         1.47518e-13,               0.0045
         1.56278e-13,               0.0046
         1.65523e-13,               0.0047
         1.75282e-13,               0.0048
         1.85586e-13,               0.0049
         1.96469e-13,                0.005
         2.07965e-13,               0.0051
         2.20114e-13,               0.0052
         2.32956e-13,               0.0053
         2.46534e-13,               0.0054
         2.60896e-13,               0.0055
         2.76091e-13,               0.0056
         2.92174e-13,               0.0057
         3.09202e-13,               0.0058
         3.27237e-13,               0.0059
         3.46348e-13,                0.006
         3.66605e-13,               0.0061
         3.88086e-13,               0.0062
         4.10876e-13,               0.0063
         4.35065e-13,               0.0064
         4.60751e-13,               0.0065
         4.88039e-13,               0.0066
         5.17045e-13,               0.0067
         5.47891e-13,               0.0068
         5.80714e-13,               0.0069
         6.15659e-13,                0.007
         6.52884e-13,               0.0071
         6.92564e-13,               0.0072
         7.34885e-13,               0.0073
         7.80055e-13,               0.0074
         8.28296e-13,               0.0075
         8.79854e-13,               0.0076
         9.34997e-13,               0.0077
         9.94021e-13,               0.0078
         1.05725e-12,               0.0079
         1.12503e-12,                0.008
         1.19776e-12,               0.0081
         1.27588e-12,               0.0082
         1.35984e-12,               0.0083
          1.4502e-12,               0.0084
         1.54751e-12,               0.0085
         1.65244e-12,               0.0086
         1.76571e-12,               0.0087
         1.88811e-12,               0.0088
         2.02055e-12,               0.0089
         2.16402e-12,                0.009
         2.31966e-12,               0.0091
         2.48873e-12,               0.0092
         2.67264e-12,               0.0093
         2.87303e-12,               0.0094
          3.0917e-12,               0.0095
         3.33073e-12,               0.0096
         3.59248e-12,               0.0097
         3.87964e-12,               0.0098
         4.19532e-12,               0.0099
         4.54306e-12,                 0.01
         4.92697e-12,               0.0101
         5.35182e-12,               0.0102
         5.82313e-12,               0.0103
         6.34739e-12,               0.0104
         6.93217e-12,               0.0105
         7.58645e-12,               0.0106
         8.32085e-12,               0.0107
         9.14804e-12,               0.0108
         1.00832e-11,               0.0109
         1.11447e-11,                0.011
         1.23547e-11,               0.0111
         1.37406e-11,               0.0112
          1.5336e-11,               0.0113
         1.71828e-11,               0.0114
         1.93336e-11,               0.0115
         2.18552e-11,               0.0116
         2.48334e-11,               0.0117
         2.83796e-11,               0.0118
          3.2641e-11,               0.0119
         3.78142e-11,                0.012
         4.41673e-11,               0.0121
         5.20727e-11,               0.0122
         6.20596e-11,               0.0123
         7.48992e-11,               0.0124
         9.17504e-11,               0.0125
         1.14416e-10,               0.0126
         1.45825e-10,               0.0127
         1.90982e-10,               0.0128
         2.59012e-10,               0.0129
         3.67982e-10,                0.013
         5.57836e-10,               0.0131
         9.31748e-10,               0.0132
         1.82807e-09,               0.0133
         4.94555e-09,               0.0134
         3.62783e-08,               0.0135
         8.05292e-08,               0.0136
         6.82306e-09,               0.0137
         2.37941e-09,               0.0138
         1.21318e-09,               0.0139
         7.40879e-10,                0.014
         5.02953e-10,               0.0141
         3.66061e-10,               0.0142
         2.79901e-10,               0.0143
          2.2204e-10,               0.0144
          1.8123e-10,               0.0145
         1.51318e-10,               0.0146
         1.28707e-10,               0.0147
         1.11174e-10,               0.0148
         9.72867e-11,               0.0149
         8.60876e-11,                0.015
         7.69152e-11,               0.0151
         6.93011e-11,               0.0152
         6.29057e-11,               0.0153
         5.74779e-11,               0.0154
         5.28286e-11,               0.0155
         4.88131e-11,               0.0156
         4.53192e-11,               0.0157
         4.22587e-11,               0.0158
         3.95614e-11,               0.0159
         3.71711e-11,                0.016
          3.5042e-11,               0.0161
         3.31367e-11,               0.0162
         3.14245e-11,               0.0163
         2.98797e-11,               0.0164
         2.84808e-11,               0.0165
         2.72098e-11,               0.0166
         2.60514e-11,               0.0167
         2.49925e-11,               0.0168
          2.4022e-11,               0.0169
         2.31302e-11,                0.017
         2.23088e-11,               0.0171
         2.15506e-11,               0.0172
         2.08493e-11,               0.0173
         2.01994e-11,               0.0174
         1.95961e-11,               0.0175
          1.9035e-11,               0.0176
         1.85124e-11,               0.0177
         1.80249e-11,               0.0178
         1.75695e-11,               0.0179
         1.71437e-11,                0.018
          1.6745e-11,               0.0181
         1.63712e-11,               0.0182
         1.60205e-11,               0.0183
         1.56911e-11,               0.0184
         1.53814e-11,               0.0185
         1.50901e-11,               0.0186
         1.48158e-11,               0.0187
         1.45573e-11,               0.0188
         1.43137e-11,               0.0189
         1.40839e-11,                0.019
         1.38671e-11,               0.0191
         1.36624e-11,               0.0192
         1.34691e-11,               0.0193
         1.32865e-11,               0.0194
          1.3114e-11,               0.0195
          1.2951e-11,               0.0196
          1.2797e-11,               0.0197
         1.26514e-11,               0.0198
         1.25139e-11,               0.0199
          1.2384e-11,                 0.02
         1.22612e-11,               0.0201
